Year,Longitude,Latitude
2001,-87.592570988,41.75652833
2001,-87.640103708,41.697149811
2018,-87.757753616,41.924087397
2001,-87.724259141,41.876192292
2001,-87.713723835,41.864099641
2001,-87.626495867,41.828167532
2001,-87.621061298,41.803391597
2001,-87.623298605,41.699305792
2001,-87.625674408,41.699035036
2001,-87.625674408,41.699035036
2018,-87.712065116,41.997341964
2018,-87.655164396,41.982818711
2001,-87.58792067,41.727329033
2001,-87.74186691,41.805133681
2001,-87.718356483,41.945290829
2001,-87.767924449,41.89417086
2001,-87.663955177,41.76989754
2018,-87.624896894,41.765162688
2001,-87.713450088,41.858993846
2001,-87.608332208,41.777875199
2001,-87.610066837,41.750742298
2001,-87.633452598,41.677023715
2001,-87.682475867,41.773780109
2001,-87.72703963,41.933951239
2001,-87.611874802,41.773860649
2001,-87.562460635,41.743536325
2001,-87.767396234,41.919050268
2001,-87.646396519,41.802481115
2001,-87.665140842,41.815289454
2019,-87.614775052,41.699538222
2001,-87.652903963,41.940514379
2001,-87.733907925,41.917530169
2001,-87.69483214,41.830861941
2001,-87.60235098,41.747658269
2001,-91.686565684,36.619446395
2001,-87.610178987,41.786449016
2001,-87.549945455,41.733119372
2001,-87.711212569,41.774287841
2001,-87.727271903,41.855785481
2001,-87.682457932,41.892175985
2001,-87.751051007,41.885691894
2001,-87.549947051,41.733289529
2001,-87.60343823,41.74581552
2001,-87.633336248,41.808187211
2001,-87.741748804,41.884494512
2001,-87.602622531,41.746655581
2001,-87.721063356,41.864396964
2001,-87.694096813,41.804449678
2001,-87.64250581,41.903726336
2001,-87.631427034,41.727987234
2001,-87.754005423,41.884680488
2001,-87.714966537,41.850571654
2001,-91.686565684,36.619446395
2001,-87.637897044,41.704164704
2001,-87.662873236,41.775228887
2001,-87.624393117,41.806911162
2001,-87.679654139,41.853040781
2001,-87.711069556,41.808036345
2001,-87.678838606,41.931535128
2001,-87.624745566,41.668224148
2001,-87.602688529,41.748914562
2001,-87.68904078,41.913977641
2001,-87.64781608,41.736011757
2001,-87.732756426,41.872993338
2001,-87.624351068,41.805069493
2001,-87.651300139,41.779653172
2001,-87.660873808,42.005072012
2001,-87.640802922,41.777309867
2001,-87.751828382,41.893110785
2001,-87.746665905,41.884914908
2001,-87.569410209,41.71274767
2001,-87.62165727,41.677126917
2001,-87.702375282,41.749060661
2001,-87.736154071,41.881921637
2001,-87.546830594,41.751194021
2001,-87.727203575,41.968249306
2001,-87.727203575,41.968249306
2001,-87.697423905,41.880758708
2001,-87.570036745,41.760069167
2001,-87.648847457,41.796878199
2001,-87.564815341,41.761782474
2001,-87.65834276,41.870862182
2001,-87.696683126,41.809211649
2001,-87.696683126,41.809211649
2001,-87.612239266,41.695768098
2001,-87.646168819,41.833393992
2001,-87.669903061,41.811315901
2001,-87.664802953,41.687120159
2001,-87.661193702,41.788613959
2001,-91.686565684,36.619446395
2001,-87.644473107,41.80159966
2001,-87.664446501,41.894298063
2001,-87.698711511,41.879777902
2001,-87.632930203,41.827276641
2001,-87.729019356,41.917724083
2001,-87.706183852,41.883191631
2001,-87.668446581,41.802114141
2001,-87.574768371,41.773465209
2001,-87.550620923,41.713389632
2001,-87.608335265,41.751230848
2001,-87.673379563,41.851769981
2001,-87.71974488,41.87328131
2001,-87.643514659,41.689771618
2001,-87.643514659,41.689771618
2001,-87.713753142,41.850795633
2001,-87.670751672,41.784846688
2001,-87.645405194,41.803951605
2001,-91.686565684,36.619446395
2001,-87.694588259,41.820698543
2001,-87.729964379,41.901650581
2001,-87.687522193,41.921021778
2001,-87.713653722,41.847405932
2001,-87.728065506,41.879060948
2001,-87.689339281,41.808888051
2001,-87.721461893,41.881890949
2001,-87.593260266,41.760015287
2001,-87.624518496,41.749918509
2001,-87.714904706,41.888985375
2001,-87.669666193,41.855919856
2001,-87.771876815,41.882809858
2001,-91.686565684,36.619446395
2001,-87.626212961,41.814197454
2001,-87.624025349,41.682152716
2001,-87.666422486,42.020537666
2001,-87.624879203,41.827040655
2001,-87.642906333,41.734316563
2001,-87.716551275,41.939227399
2001,-87.772310424,41.895369652
2001,-87.692011234,41.90535268
2001,-87.558341882,41.736839959
2001,-87.700791434,41.811811224
2001,-87.689361689,41.923718707
2001,-87.572315031,41.751198244
2001,-87.64903618,41.889026144
2001,-87.678558495,41.847460947
2001,-87.620979701,41.687781719
2001,-87.708373009,41.965225762
2001,-87.562222204,41.7313061
