Year,Latitude,Longitude
2001,41.811811224,-87.700791434
2001,41.923718707,-87.689361689
2001,41.751198244,-87.572315031
2001,41.889026144,-87.64903618
2001,41.847460947,-87.678558495
2001,41.687781719,-87.620979701
2001,41.965225762,-87.708373009
2001,41.7313061,-87.562222204
2001,41.722505315,-87.57254747
2001,41.741928315,-87.55515514
2001,41.764569155,-87.628341654
2001,41.772372122,-87.5838361
2001,41.909568263,-87.707005828
2001,41.902892482,-87.766896097
2001,41.782269493,-87.695919424
2001,41.895924477,-87.749290524
2001,41.938455979,-87.701856948
2001,41.782932485,-87.61569264
2001,41.737871237,-87.582222212
2001,41.764393867,-87.645604327
2001,41.812390862,-87.628305374
2001,41.994546321,-87.661047161
2001,41.719047041,-87.534076576
2001,41.733703312,-87.553488512
2001,41.964222343,-87.663763403
2001,41.850280454,-87.68117242
2001,41.757327195,-87.644213747
2001,41.846447308,-87.626981006
2001,41.846447308,-87.626981006
2001,41.845634525,-87.712386274
2001,41.88018458,-87.768716084
2001,41.963880376,-87.649971265
2001,41.856602949,-87.655530431
2001,41.802130398,-87.694031842
2001,36.619446395,-91.686565684
2001,41.939130617,-87.724123696
2001,41.743714919,-87.55881985
2001,41.788274362,-87.67171376
2001,41.829748868,-87.626599554
2002,41.786580849,-87.632782985
2002,41.901450966,-87.727494115
2002,41.846003652,-87.730157213
2002,41.89652481,-87.639211587
2002,41.670028597,-87.641646526
2002,41.920519191,-87.691367018
2002,41.887050149,-87.740296627
2002,41.887050149,-87.740296627
2002,41.786291714,-87.664386014
2002,41.786291714,-87.664386014
2002,41.836242728,-87.729195703
2002,41.837606711,-87.732874558
2002,41.721962682,-87.610059993
2002,41.773300126,-87.589815515
2002,41.802662129,-87.651444958
2002,41.779673403,-87.650086362
2002,41.778540873,-87.609013972
2002,41.671580428,-87.626074017
2002,41.698789971,-87.606200236
2002,41.768219463,-87.652986514
2002,41.779568811,-87.613193035
2002,41.903726336,-87.64250581
2002,41.680758359,-87.645660939
2002,41.863822715,-87.721446964
2002,41.883290212,-87.731793349
2002,41.84512641,-87.618847945
2002,41.750538141,-87.634278086
2002,41.894414378,-87.724831644
2002,42.012563414,-87.678876953
2002,41.775004068,-87.601743597
2002,41.852051628,-87.627069839
2002,41.78633318,-87.648600296
2002,41.676195092,-87.623190292
2002,41.953552585,-87.647905229
2002,41.80996032,-87.61384312
2002,41.969396938,-87.704349812
2002,41.865464821,-87.720098641
2002,41.7685342,-87.66546863
2002,41.814751217,-87.745916343
2002,41.906595415,-87.728867167
2002,41.990279378,-87.6615629
2002,41.790081654,-87.646264897
2002,41.850977105,-87.705228658
2002,41.780335164,-87.701955135
2002,41.918231032,-87.713946349
2002,41.877449278,-87.694974483
2002,41.885001213,-87.725791327
2002,41.807738845,-87.66495155
2002,41.880452272,-87.748722719
2002,41.826601623,-87.620451858
2002,41.954356038,-87.752279309
2002,41.804618366,-87.625958859
2002,41.886816493,-87.634366196
2002,41.776099836,-87.569813696
2002,41.808597696,-87.665404791
2002,41.837134851,-87.710233636
2002,41.758273974,-87.622590327
2002,41.891894474,-87.738316268
2002,41.766498729,-87.621718782
2002,41.98625526,-87.658096219
2002,41.802946964,-87.621051552
2002,41.734454625,-87.585596055
2002,41.870767914,-87.72135136
2002,41.870767914,-87.72135136
2002,41.839804007,-87.627964177
2002,41.907876542,-87.672504431
2002,41.894439594,-87.712622632
2002,41.787582014,-87.648631009
2002,41.787582014,-87.648631009
2002,41.773045493,-87.672530163
2002,41.800629888,-87.648429775
2002,41.883225022,-87.73718486
2002,41.768062885,-87.665117946
2002,41.91902511,-87.700042375
2002,41.787844269,-87.683870028
2002,41.88707894,-87.716076256
2002,41.900768924,-87.643107045
2002,41.746765368,-87.602624951
2002,41.746823018,-87.602627962
2002,41.680860482,-87.65174766
2002,41.899664378,-87.717674131
2002,41.736458248,-87.585638764
2002,41.746220757,-87.578240589
2002,41.790035081,-87.655982796
2002,41.72491915,-87.604546637
2002,41.900984527,-87.772904103
2002,41.926612508,-87.773378066
2002,41.928553677,-87.745038826
2002,41.903726336,-87.64250581
2002,41.958419404,-87.65645628
2002,41.885615086,-87.75704141
2002,41.856710483,-87.679282732
2002,41.856710483,-87.679282732
2002,36.619446395,-91.686565684
2002,41.758526554,-87.60855003
2002,41.805731957,-87.670969329
2002,41.925456357,-87.723129348
2002,41.766421928,-87.634692177
2002,41.765129284,-87.616855105
2002,41.787370815,-87.625110793
2002,41.870490411,-87.720259887
2002,41.771703065,-87.645793868
2002,41.846562186,-87.687034749
2002,41.846562186,-87.687034749
2002,41.846562186,-87.687034749
2002,41.856012269,-87.664309668
2002,41.837397675,-87.69611394
2002,41.775963639,-87.615517372
2002,41.903726336,-87.64250581
2002,41.850911095,-87.734486258
2002,41.900244713,-87.770890283
2002,41.754350905,-87.550585227
2002,41.855807441,-87.713899319
2002,41.80968984,-87.671078948
2002,41.854842301,-87.681812488
2002,41.847120382,-87.707552924
2002,41.854669385,-87.683260474
2002,41.931197525,-87.678827358
2002,41.865137529,-87.662533116
2002,41.771336177,-87.666422021
2002,41.871884998,-87.704117117
2002,41.7438292,-87.70222863
2002,41.767554109,-87.569812396
2002,41.764104971,-87.665008731
2002,41.891835528,-87.712155694
2002,41.881665492,-87.754190562
2002,41.766122835,-87.649291766
2002,41.729333252,-87.606042738
2002,41.968768467,-87.678332585
2002,41.690729261,-87.626779626
2002,41.824549788,-87.697741939
2002,41.755633717,-87.644173224
2002,41.706006743,-87.554965902
2002,41.777831884,-87.716516384
2002,41.777831884,-87.716516384
2002,36.619446395,-91.686565684
2002,36.619446395,-91.686565684
2002,41.879633732,-87.736307568
2002,41.748656829,-87.595424583
2002,41.733226375,-87.588739105
2002,41.891801656,-87.715542311
2002,41.917484857,-87.721673137
2002,41.911148801,-87.738989821
2002,41.909352166,-87.767401081
2002,41.748132016,-87.657313946
2002,41.801372167,-87.633172034
2002,41.902344229,-87.746789232
2002,36.619446395,-91.686565684
2002,41.833438683,-87.648597497
2002,41.967706078,-87.661175003
2002,41.746196111,-87.552787678
2002,41.818114699,-87.609221202
2002,41.883028274,-87.761636626
2002,41.724483554,-87.627527216
2002,41.75740583,-87.64177196
2002,41.904728671,-87.757027516
2002,41.903726336,-87.64250581
2002,41.897524798,-87.769136372
2002,41.682333624,-87.559351383
2002,41.894452205,-87.711403102
2002,41.67175828,-87.661199219
2002,41.875848781,-87.730409082
2002,41.894044868,-87.746637454
2002,41.958010544,-87.652747282
2002,41.701188795,-87.626925131
2002,41.850330711,-87.627026373
2002,41.861954761,-87.66876679
2002,41.861473631,-87.728701288
2002,41.906364779,-87.7620787
2002,41.753567171,-87.564572519
2002,41.837662739,-87.637741648
2002,41.811551206,-87.665047641
2002,41.768125752,-87.646920778
2002,41.803391763,-87.646320773
2002,36.619446395,-91.686565684
2002,41.804618366,-87.625958859
2002,41.866992589,-87.731362412
2002,41.806139783,-87.663684419
2002,41.816501877,-87.689552817
2002,41.857987652,-87.65440722
2002,41.775119261,-87.647095508
